QueryID,DocID,Score
Q0,CACM-2714,12.789995762770836
Q0,CACM-3075,12.150773459037053
Q0,CACM-3156,12.019328969428289
Q0,CACM-1811,9.403526750066739
Q0,CACM-2288,9.365534046364818
Q1,CACM-3075,14.776875861004799
Q1,CACM-3156,13.7885715748846
Q1,CACM-2714,12.287372743969563
Q1,CACM-3006,10.5541992875649
Q1,CACM-2723,9.80351916997131
Q2,CACM-2721,14.900856236579667
Q2,CACM-2749,6.392262343885785
Q2,CACM-1928,6.274544438383089
Q2,CACM-2767,6.038483768224852
Q2,CACM-3070,5.942615431446424
Q3,CACM-0717,82.00803005905718
Q3,CACM-1186,77.28844861432194
Q3,CACM-2096,75.89223457844723
Q3,CACM-2466,73.6217226742484
Q3,CACM-0203,73.48550933340341
Q4,CACM-2677,43.44759232659132
Q4,CACM-0795,43.24046777635752
Q4,CACM-2743,42.9553197357917
Q4,CACM-1138,39.60237387829585
Q4,CACM-2573,39.28333012244682
